Type,Name,Address,Rooms,Grade,District,PS/MC/UC,Logitiute,Latitude,AGA Division
boutique hotels,the theva residency,"11/b5/10-1 06th lane, hantana,kandy",10,nan,kandy,kandy,80.635411,7.276036,kandy divisional secretariat
boutique hotels,highland villa,"351, abimangama road, kumbalgama, weligama",10,nan,matara,weligama pradeshiya sabha,80.409972,5.960334,weligama divisional secretariat
boutique hotels,ulagalla walawwa resort,"thirappane, anuradhapura",21,nan,anuradhapura,anuradhapura,80.545063,8.205927,anuradhapura east
boutique hotels,galle fort hotel,"no.28, church street, fort , galle",14,nan,galle,galle,80.217563,6.026649,galle divisional secretariat
boutique hotels,the elephant corridor,"pothana,kibissa, sigiriya",21,nan,matale,matale,80.710743,7.943525,nan
boutique hotels,amanwella,"wellawatura, godellawela, tangalle",30,nan,hambantota,tangalle pradeshiya sabha,80.777376,6.006174,tangalle divisional secretariat
boutique hotels,aditya,"719/1, galle road, devenigoda,rathgama",12,nan,galle,galle,80.134978,6.094732,galle divisional secretariat
boutique hotels,buckingam place,"rekawa village, netolpitiya, tangalle",11,nan,hambantota,tangalle pradeshiya sabha,80.855462,6.047336,tangalle divisional secretariat
boutique hotels,club villa,"no.138/15, galle road, bentota",15,nan,galle,bentota pradeshiya sabha,79.999034,6.414093,benthota divisional secretariat
boutique hotels,saman villas,"aturuwella, induruwa",27,nan,galle,galle,80.004447,6.395518,galle divisional secretariat
boutique hotels,mandara resort,"no. 416, modarawatta, pelena, mirissa, weiligama",12,nan,matara,weligama pradeshiya sabha,80.453836,5.964016,matara divisional secretariat
boutique hotels,vil uyana,"rangirigama, sigiriya",30,nan,matale,matale,80.720275,7.92971,matale divisional secretariat
boutique hotels,tamarind hill hotel,"no.288,galle road, dadella, galle",11,nan,galle,galle,80.19736,6.044845,galle divisional secretariat
boutique hotels,paradise road tintagel colombo,"no.65, rosmead place,colombo 07",10,nan,colombo,colombo,79.869959,6.915033,colombo divisional secretariat
boutique hotels,brook boutique,"ali pallama, madahapola road, melsiripura",10,nan,kurunegala,polpithigama pradeshiya sabha,80.512511,7.726939,polpithigama divisional secretariat
boutique hotels,the fortress,koggala,49,nan,galle,galle,80.326424,5.986535,galle divisional secretariat
boutique hotels,casa colombo,"no.231, galle road, colombo 03",11,nan,colombo,colombo,79.857693,6.888839,colombo divisional secretariat
boutique hotels,amangalle,"no. 10 church road, galle",28,nan,galle,galle,80.216995,6.028977,galle divisional secretariat
boutique hotels,maalu maalu resorts & spa,"tourism zone, passikudah.",40,nan,batticaloa,batticaloa,81.561268,7.92839,koralai pattu divisional secretariat
boutique hotels,the walawwa,"minuwangoda road,opatha,kotugoda.",17,nan,gampaha,minuwangoda pradeshiya sabha,79.927908,7.131981,minuwangoda divisional secretariat
boutique hotels,boulder garden,"koswatta,kalawana.",10,nan,ratnapura,ratnapura,80.385872,6.514558,kalawana divisional secretariat
boutique hotels,jims farm villa,"ahelapola, pellepola, matale",10,nan,matale,ahelapola,80.619922,7.621357,pallepola divisional secretariat
boutique hotels,langdale resort & spa,"p.o box 01, nanuoya, radella,nuwaraeliya",13,nan,nuwara eliya,kotapola pradeshiya sabha,80.718066,6.929208,nuwara eliya divisional secretariat
boutique hotels,the fort bazaar,"26, church street, galle fort, galle",18,nan,galle,galle,80.2154963,6.026844,galle divisional secretariat
boutique hotels,"water garden,sigiriya","kibissa, sigiriya",30,nan,matale,dambulla pradeshiya sabha,80.7441833,7.994399,dambulla divisional secretariat
boutique hotels,sooriya resort & spa,"sooriya resort & spa, rekawa beach, tangalle",38,nan,hambantota,tangalle pradeshiya sabha,80.8635393,6.048141,tangalle divisional secretariat
boutique hotels,wild coast tented lodge,"palatupana,yala.",28,nan,hambantota,thissamaharama,81.4064072,6.2607399,thissamaharama divisional secretariat
boutique hotels,the habitat,"47/23,paratharakaya circulation road, kosgoda",28,nan,galle,balapitiya,80.0258226,6.3405694,balapitiya divisional secretariat
boutique villas,rock villa,"neelisgewatta,alawathugoda,bentota.",7,nan,galle,benthota divisional secretariat,79.9973733,6.41358,bentota pradeshiya sabha
boutique villas,mirage kings cottage,"no 111, havelock drive, off upper lake road,nuwaraeliya.",11,nan,nuwara eliya,nugegoda divisional secretariat,80.7723742,6.9641218,nuwara eliya
boutique villas,dunkeld bungalow,"dunkel bungalow, dankeld estate, dickoya",5,nan,nuwara eliya,ambalangoda divisional secretariat,80.572933,6.858082,ambalantota pradeshiya sabha
boutique villas,summerville,"tea trails (pvt) ltd, summerville bungalow, summerville, dickoya, hatton.",5,nan,nuwara eliya,ambagamuwa divisional secretariat,80.580983,6.867271,ambagamuwa pradeshiya sabha
boutique villas,mirissa hills,"henwala road, henwala, mirissa",8,nan,matara,galle divisional secretariat,80.465105,5.963842,galle
boutique villas,wild grass nature resort,sigiriya,5,nan,matale,matale divisional secretariat,80.724371,7.904267,matale
boutique villas,norwood bungalow,"tea trails,nuwara eliya.",5,nan,nuwara eliya,nuwara eliya divisional secretariat,80.60413,6.834541,nuwara eliya
boutique villas,villa saffron,"no,776,galle road,thirangama,hikkaduwa",5,nan,galle,hikkaduwa divisional secretariat,80.1137,6.12222,hikkaduwa
boutique villas,mount havana luxury boutique villa,"p.o. box. 28, wattahena, gampola.",5,nan,kandy,udapalatha divisional secretariat,80.599521,7.144944,gampola
boutique villas,lake lodge boutique hotel,"16,division,wewa road,kandalama,dambulla",6,nan,matale,dambulla divisional secretariat,80.690316,7.863126,dambulla pradeshiya sabha
boutique villas,mount batten bungalow,"bowalawatta,waitrarama,aranva road,kandy",3,nan,kandy,kandy divisional secretariat,80.619447,7.255123,kandy
boutique villas,ellerton hotel,"nawa gurukelle, doluwa, gampola",5,nan,kandy,gampola divisional secretariat,80.629261,7.187229,gampola
boutique villas,rosyth estate house,"rosyth estate,pussella,kegalle",7,nan,kegalle,kegalle divisional secretariat,80.352821,7.276954,kegalle
boutique villas,eraeliya villas and gardens,"no : 299,walliwala,kapparatota,weligama.",7,nan,matara,weligama divisional secretariat,80.413849,5.958113,matara
boutique villas,waterside bentota,"yathramulla,bentota",6,nan,galle,benthota divisional secretariat,80.007114,6.430846,bentota pradeshiya sabha
boutique villas,coco bay,"no. 4/10, rumassala, unawatuna.",8,nan,galle,hikkaduwa divisional secretariat,80.243972,6.027435,hikkaduwa
boutique villas,reef villa & spa,"no.78,samanthara rd, wadduwa",7,nan,kalutara,wadduwa,79.928253,6.658974,kalutara pradeshiya sabha
boutique villas,dvillas luxury,"193/1, gnanendra mawatha, nawala",6,nan,colombo,colombo divisional secretariat,79.8872566,6.8864696,colombo
boutique villas,era beach hotel,"no. 834, matara road, thalpe",6,nan,galle,galle divisional secretariat,80.2727742,5.9984781,galle
